[run number],start-fire,slow-fire-spread,people-speed,ticks,deaths,exited
1,0,1,0.1,172,97,123
2,0,1,0.1,172,86,134
3,0,1,0.1,172,81,139
4,0,1,0.1,172,90,130
5,0,1,0.1,172,89,131
6,0,1,0.1,178,83,137
7,0,1,0.1,172,91,129
8,0,1,0.1,172,76,144
9,0,1,0.1,172,91,129
10,0,1,0.1,172,78,142
11,0,1,0.2,97,54,166
12,0,1,0.2,92,52,168
13,0,1,0.2,90,57,163
14,0,1,0.2,91,62,158
15,0,1,0.2,92,54,166
16,0,1,0.2,91,55,165
17,0,1,0.2,91,65,155
18,0,1,0.2,93,58,162
19,0,1,0.2,91,55,165
20,0,1,0.2,90,57,163
21,0,1,0.3,77,26,194
22,0,1,0.3,77,30,190
23,0,1,0.3,77,25,195
24,0,1,0.3,77,35,185
25,0,1,0.3,77,32,188
26,0,1,0.3,77,31,189
27,0,1,0.3,77,36,184
28,0,1,0.3,77,25,195
29,0,1,0.3,77,27,193
30,0,1,0.3,77,28,192
31,0,1,0.4,58,9,211
32,0,1,0.4,58,8,212
33,0,1,0.4,58,14,206
34,0,1,0.4,58,7,213
35,0,1,0.4,58,10,210
36,0,1,0.4,58,10,210
37,0,1,0.4,58,17,203
38,0,1,0.4,58,11,209
39,0,1,0.4,58,9,211
40,0,1,0.4,58,9,211
41,0,1,0.5,48,1,219
42,0,1,0.5,48,2,218
43,0,1,0.5,48,0,220
44,0,1,0.5,47,0,220
45,0,1,0.5,48,0,220
46,0,1,0.5,48,1,219
47,0,1,0.5,47,0,220
48,0,1,0.5,48,0,220
49,0,1,0.5,48,2,218
50,0,1,0.5,48,1,219
51,0,2,0.1,180,39,181
52,0,2,0.1,178,53,167
53,0,2,0.1,180,52,168
54,0,2,0.1,180,49,171
55,0,2,0.1,180,43,177
56,0,2,0.1,180,45,175
57,0,2,0.1,180,49,171
58,0,2,0.1,181,50,170
59,0,2,0.1,185,53,167
60,0,2,0.1,180,47,173
61,0,2,0.2,115,5,215
62,0,2,0.2,115,7,213
63,0,2,0.2,115,9,211
64,0,2,0.2,115,9,211
65,0,2,0.2,115,5,215
66,0,2,0.2,115,6,214
67,0,2,0.2,115,9,211
68,0,2,0.2,115,8,212
69,0,2,0.2,115,9,211
70,0,2,0.2,115,3,217
71,0,2,0.3,83,0,220
72,0,2,0.3,83,0,220
73,0,2,0.3,83,0,220
74,0,2,0.3,83,0,220
75,0,2,0.3,83,0,220
76,0,2,0.3,83,0,220
77,0,2,0.3,83,0,220
78,0,2,0.3,83,0,220
79,0,2,0.3,83,0,220
80,0,2,0.3,83,0,220
81,0,2,0.4,63,0,220
82,0,2,0.4,63,0,220
83,0,2,0.4,63,0,220
84,0,2,0.4,63,0,220
85,0,2,0.4,63,0,220
86,0,2,0.4,63,0,220
87,0,2,0.4,63,0,220
88,0,2,0.4,63,0,220
89,0,2,0.4,63,0,220
90,0,2,0.4,63,0,220
91,0,2,0.5,50,0,220
92,0,2,0.5,51,0,220
93,0,2,0.5,51,0,220
94,0,2,0.5,50,0,220
95,0,2,0.5,51,0,220
96,0,2,0.5,51,0,220
97,0,2,0.5,51,0,220
98,0,2,0.5,51,0,220
99,0,2,0.5,51,0,220
100,0,2,0.5,50,0,220
101,0,3,0.1,228,24,196
102,0,3,0.1,228,21,199
103,0,3,0.1,228,26,194
104,0,3,0.1,228,19,201
105,0,3,0.1,228,18,202
106,0,3,0.1,228,29,191
107,0,3,0.1,228,27,193
108,0,3,0.1,228,25,195
109,0,3,0.1,228,29,191
110,0,3,0.1,228,26,194
111,0,3,0.2,124,0,220
112,0,3,0.2,124,0,220
113,0,3,0.2,124,0,220
114,0,3,0.2,124,0,220
115,0,3,0.2,124,0,220
116,0,3,0.2,124,0,220
117,0,3,0.2,124,0,220
118,0,3,0.2,124,0,220
119,0,3,0.2,124,0,220
120,0,3,0.2,124,0,220
121,0,3,0.3,83,0,220
122,0,3,0.3,83,0,220
123,0,3,0.3,83,0,220
124,0,3,0.3,83,0,220
125,0,3,0.3,83,0,220
126,0,3,0.3,83,0,220
127,0,3,0.3,83,0,220
128,0,3,0.3,83,0,220
129,0,3,0.3,83,0,220
130,0,3,0.3,83,0,220
131,0,3,0.4,63,0,220
132,0,3,0.4,63,0,220
133,0,3,0.4,63,0,220
134,0,3,0.4,63,0,220
135,0,3,0.4,63,0,220
136,0,3,0.4,63,0,220
137,0,3,0.4,63,0,220
138,0,3,0.4,63,0,220
139,0,3,0.4,63,0,220
140,0,3,0.4,63,0,220
141,0,3,0.5,51,0,220
142,0,3,0.5,51,0,220
143,0,3,0.5,51,0,220
144,0,3,0.5,51,0,220
145,0,3,0.5,51,0,220
146,0,3,0.5,51,0,220
147,0,3,0.5,51,0,220
148,0,3,0.5,51,0,220
149,0,3,0.5,51,0,220
150,0,3,0.5,51,0,220
151,0,4,0.1,228,8,212
152,0,4,0.1,228,9,211
153,0,4,0.1,228,7,213
154,0,4,0.1,228,8,212
155,0,4,0.1,228,6,214
156,0,4,0.1,228,5,215
157,0,4,0.1,228,9,211
158,0,4,0.1,228,5,215
159,0,4,0.1,228,10,210
160,0,4,0.1,228,7,213
161,0,4,0.2,124,0,220
162,0,4,0.2,124,0,220
163,0,4,0.2,124,0,220
164,0,4,0.2,124,0,220
165,0,4,0.2,124,0,220
166,0,4,0.2,124,0,220
167,0,4,0.2,124,0,220
168,0,4,0.2,124,0,220
169,0,4,0.2,124,0,220
170,0,4,0.2,124,0,220
171,0,4,0.3,83,0,220
172,0,4,0.3,83,0,220
173,0,4,0.3,83,0,220
174,0,4,0.3,83,0,220
175,0,4,0.3,83,0,220
176,0,4,0.3,83,0,220
177,0,4,0.3,83,0,220
178,0,4,0.3,83,0,220
179,0,4,0.3,83,0,220
180,0,4,0.3,83,0,220
181,0,4,0.4,63,0,220
182,0,4,0.4,63,0,220
183,0,4,0.4,63,0,220
184,0,4,0.4,63,0,220
185,0,4,0.4,63,0,220
186,0,4,0.4,63,0,220
187,0,4,0.4,63,0,220
188,0,4,0.4,63,0,220
189,0,4,0.4,63,0,220
190,0,4,0.4,63,0,220
191,0,4,0.5,51,0,220
192,0,4,0.5,51,0,220
193,0,4,0.5,51,0,220
194,0,4,0.5,50,0,220
195,0,4,0.5,51,0,220
196,0,4,0.5,51,0,220
197,0,4,0.5,50,0,220
198,0,4,0.5,51,0,220
199,0,4,0.5,50,0,220
200,0,4,0.5,51,0,220
201,10,1,0.1,172,89,131
202,10,1,0.1,172,81,139
203,10,1,0.1,172,77,143
204,10,1,0.1,172,84,136
205,10,1,0.1,172,80,140
206,10,1,0.1,200,83,137
207,10,1,0.1,172,85,135
208,10,1,0.1,172,75,145
209,10,1,0.1,172,75,145
210,10,1,0.1,197,88,132
211,10,1,0.2,101,45,175
212,10,1,0.2,101,41,179
213,10,1,0.2,110,38,182
214,10,1,0.2,101,37,183
215,10,1,0.2,99,46,174
216,10,1,0.2,103,45,175
217,10,1,0.2,101,50,170
218,10,1,0.2,101,43,177
219,10,1,0.2,101,50,170
220,10,1,0.2,103,42,178
221,10,1,0.3,77,15,205
222,10,1,0.3,77,14,206
223,10,1,0.3,77,16,204
224,10,1,0.3,77,15,205
225,10,1,0.3,77,18,202
226,10,1,0.3,77,19,201
227,10,1,0.3,77,18,202
228,10,1,0.3,77,14,206
229,10,1,0.3,77,9,211
230,10,1,0.3,77,17,203
231,10,1,0.4,58,1,219
232,10,1,0.4,59,1,219
233,10,1,0.4,61,1,219
234,10,1,0.4,60,2,218
235,10,1,0.4,61,2,218
236,10,1,0.4,60,1,219
237,10,1,0.4,58,2,218
238,10,1,0.4,58,2,218
239,10,1,0.4,58,0,220
240,10,1,0.4,59,0,220
241,10,1,0.5,51,0,220
242,10,1,0.5,51,0,220
243,10,1,0.5,50,0,220
244,10,1,0.5,51,0,220
245,10,1,0.5,51,0,220
246,10,1,0.5,51,0,220
247,10,1,0.5,51,0,220
248,10,1,0.5,51,0,220
249,10,1,0.5,51,0,220
